title,provider,provider_type,scholarship_type,amount,amount_description,description,official_website,application_link,min_cgpa,min_percentage,max_income,max_age,applicable_state,eligible_gender,minority_only,disability_only,sports_quota,ncc_required,is_verified
"NSP Central Sector Scheme of Scholarship","Department of Higher Education","government","merit",20000.0,"INR 10,000 per year for 3 years, INR 20,000 for PG","Supports college and university students from families below a certain income threshold.","https://www.scholarships.gov.in","https://scholarships.gov.in",7.5,80.0,450000.0,25,"All","all",false,false,false,false,true
"Karnataka SSP Post-Matric Scholarship","State Government of Karnataka","government","state",15000.0,"Varies from INR 5,000 to INR 25,000 depending on course","State scholarship for post-matric students of Karnataka belonging to SC/ST/OBC/Minority categories.","https://ssp.postmatric.karnataka.gov.in","https://ssp.postmatric.karnataka.gov.in",5.0,50.0,250000.0,28,"Karnataka","all",false,false,false,false,true
"National Fellowship for OBC","Ministry of Social Justice and Empowerment","government","minority",420000.0,"Fellowship for pursuing M.Phil/Ph.D.","Provides financial assistance to OBC students for pursuing higher education leading to M.Phil/Ph.D degrees.","https://www.ugc.gov.in","https://www.ugc.gov.in/nfobc",6.5,55.0,600000.0,35,"All","all",false,false,false,false,true
"Adobe Women-in-Technology Scholarship","Adobe","private","merit",250000.0,"Up to $20,000 USD or equivalent INR","Empowers women in technology and engineering careers. Covers tuition and fees.","https://www.adobe.com","https://www.adobe.com/in/responsibility/women-in-technology.html",8.5,85.0,0.0,25,"All","female",false,false,false,false,true
"L'Oréal India For Young Women In Science Scholarship","L'Oréal India","private","merit",250000.0,"INR 2.5 Lakhs for undergraduate studies in science","Supports young women from economically disadvantaged families to pursue higher education in scientific fields.","https://www.loreal.com","https://www.buddy4study.com/page/loreal-india-for-young-women-in-science-scholarship",8.0,85.0,600000.0,19,"All","female",false,false,false,false,true
"Sitaram Jindal Foundation Scholarship","Sitaram Jindal Foundation","private","need",24000.0,"Up to INR 2,000 per month","Provides financial aid to poor and meritorious students from class 11 to postgraduate level.","https://www.sitaramjindalfoundation.org","https://www.sitaramjindalfoundation.org/scholarships.php",6.5,65.0,250000.0,25,"All","all",false,false,false,false,true
"Keep India Smiling Foundational Scholarship","Colgate-Palmolive India","private","need",30000.0,"INR 30,000 per annum for 3 years","Provides financial support to deserving and meritorious students pursuing graduation/professional courses.","https://www.colgate.co.in","https://www.buddy4study.com/page/keep-india-smiling-foundational-scholarship-programme",6.0,75.0,500000.0,22,"All","all",false,false,false,false,true
"Siemens Scholarship Program","Siemens India","private","need",60000.0,"Tuition fee reimbursement and allowances","Supports first-year government engineering college students from low-income families.","https://www.siemens.co.in","https://www.siemens.co.in/en/about/siemens-scholarship-program.html",7.5,60.0,200000.0,20,"All","all",false,false,false,false,true
"GP Birla Scholarship","GP Birla Educational Trust","private","merit",50000.0,"Up to INR 50,000 per year","Supports meritorious students of West Bengal pursuing further studies.","https://gpbirlaedutrust.com","https://gpbirlaedutrust.com/scholarship",8.0,85.0,300000.0,21,"West Bengal","all",false,false,false,false,true
"NSF Scholarship","North South Foundation","private","need",25000.0,"INR 25,000 per year","Supports students pursuing professional courses (Engineering, Medicine, Poly) who are economically disadvantaged.","https://www.northsouth.org","https://www.northsouth.org/public/US/scholarships",7.0,80.0,100000.0,22,"All","all",false,false,false,false,true
"Rolls-Royce Unnati Scholarship","Rolls-Royce India","private","merit",35000.0,"INR 35,000 one-time financial aid","Supports women engineering students in their 1st, 2nd, or 3rd year.","https://www.rolls-royce.com","https://www.buddy4study.com/page/rolls-royce-unnati-scholarships-for-women-engineering-students",7.0,60.0,400000.0,25,"All","female",false,false,false,false,true
"Buddy4Study National Merit Scholarship","Buddy4Study","private","merit",10000.0,"INR 10,000 one-time","A merit-based scholarship open to students studying in class 1 to graduation.","https://www.buddy4study.com","https://www.buddy4study.com/scholarships",6.5,70.0,500000.0,24,"All","all",false,false,false,false,true
"Medhaavi Engineering Scholarship","Corporate CSR","private","merit",50000.0,"INR 50,000 per year","Supports engineering students with high merit and lower-income background.","https://www.buddy4study.com","https://www.buddy4study.com/page/medhaavi-engineering-scholarship",7.5,75.0,600000.0,23,"All","all",false,false,false,false,true
"Dr. Ambedkar Post Matric Scholarship for EBC","Ministry of Social Justice","government","need",20000.0,"Covers tuition fee and maintenance allowance","Supports post-matric studies of Economically Backward Class (EBC) students.","https://scholarships.gov.in","https://scholarships.gov.in",5.5,50.0,100000.0,25,"All","all",false,false,false,false,true
"Post Matric Scholarship for Minorities","Ministry of Minority Affairs","government","minority",15000.0,"Up to INR 15,000 per annum","Supports students from Muslim, Christian, Sikh, Buddhist, Jain, and Parsi communities.","https://scholarships.gov.in","https://scholarships.gov.in",6.0,50.0,200000.0,25,"All","all",true,false,false,false,true
